ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Masks
ck5gym0fe9wek0929pdnb0d4u,ck5gy4i83t7vg0doq10uzdreu,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2F5a5b3149-1710-75d6-a5df-5edf9f792f34-2020-01-16T08%3A17%3A27.jpg?Expires=1580850788291&KeyName=labelbox-assets-key-1&Signature=mWjvJ0EO6ZyXJg8DxgwFqxe1DBA,"{""Free space"":[{""geometry"":[{""x"":1812,""y"":1080},{""x"":1920,""y"":1028},{""x"":1920,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,88.815,2020-01-16T08:17:27.jpg,,,,,Free space detection,"[{""id"":""ck5gymq731c7t0843hfuu1u13"",""score"":1,""createdAt"":""2020-01-16T16:40:20.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gym0fe9wek0929pdnb0d4u,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3ltMGZlOXdlazA5MjlwZG5iMGQ0dSIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.A2oT764hvP48QLKEYdu-aAUyK_1FrypbHn2b5DXMVCA""}"
ck5gyo6i7hm670899n81270te,ck5gy4i8at7z00doqcppabo2u,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2Fc4189620-12c0-caae-0e77-2bb63582c877-2020-01-16T08%3A18%3A06.jpg?Expires=1580850788291&KeyName=labelbox-assets-key-1&Signature=verip8DsM1kP66fG81D4R8SiLkI,"{""Free space"":[{""geometry"":[{""x"":2,""y"":555},{""x"":364,""y"":580},{""x"":1435,""y"":667},{""x"":1920,""y"":696},{""x"":1920,""y"":1080},{""x"":0,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,5.467,2020-01-16T08:18:06.jpg,,,,,Free space detection,"[{""id"":""ck5gyqzkem1d70770kyw5yuz3"",""score"":1,""createdAt"":""2020-01-16T16:43:39.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gyo6i7hm670899n81270te,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3lvNmk3aG02NzA4OTluODEyNzB0ZSIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.JoWDC01l934ihxgfOQoQMaLv7Pyd3TBN1wUPotU1rwc""}"
ck5gyo8wehm7t0899uufq4k22,ck5gy4i8dt82k0doqfzco6an4,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2F4d5d2560-cbaf-7551-3ce1-8a5ad9fc90c1-2020-01-16T08%3A18%3A46.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=8hTjeJpUc3N26zRhlOPKKwkodng,"{""Free space"":[{""geometry"":[{""x"":497,""y"":1080},{""x"":808,""y"":627},{""x"":827,""y"":622},{""x"":851,""y"":587},{""x"":844,""y"":418},{""x"":919,""y"":419},{""x"":945,""y"":394},{""x"":1328,""y"":399},{""x"":1434,""y"":444},{""x"":1428,""y"":557},{""x"":1426,""y"":589},{""x"":1469,""y"":629},{""x"":1485,""y"":631},{""x"":1797,""y"":911},{""x"":1920,""y"":1049},{""x"":1920,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,2.928,2020-01-16T08:18:46.jpg,,,,,Free space detection,"[{""id"":""ck5gyqte31iq90978u35m1ltq"",""score"":1,""createdAt"":""2020-01-16T16:43:31.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gyo8wehm7t0899uufq4k22,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3lvOHdlaG03dDA4OTl1dWZxNGsyMiIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.nXbydqmkjVRSoeKcx0aZ9WXqR3kuPiUaOS-SVdWA9_Q""}"
ck5gyt2ft9z8m0929jvsphxua,ck5gy4i83t7vs0doqfbj07866,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2F830ff12d-a59e-81b0-3a38-425d5af961a0-2020-01-16T08%3A17%3A31.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=PgAX6VNQogPfMMtKDcdLE4IXbRk,"{""Free space"":[{""geometry"":[{""x"":375,""y"":1080},{""x"":475,""y"":924},{""x"":430,""y"":619},{""x"":416,""y"":472},{""x"":672,""y"":467},{""x"":670,""y"":512},{""x"":1182,""y"":505},{""x"":1540,""y"":505},{""x"":1684,""y"":503},{""x"":1656,""y"":759},{""x"":1623,""y"":876},{""x"":1772,""y"":1011},{""x"":1796,""y"":1008},{""x"":1875,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,41.251,2020-01-16T08:17:31.jpg,,,,,Free space detection,"[{""id"":""ck5gyy52x1ln20978ah4ofhzr"",""score"":1,""createdAt"":""2020-01-16T16:49:12.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gyt2ft9z8m0929jvsphxua,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3l0MmZ0OXo4bTA5MjlqdnNwaHh1YSIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.3aSGE2sxXUDGDqReWgPd1TQIf_zw3Mw0-E0fR2RX-hU""}"
ck5gyu9wu1f9c0843h27fczxk,ck5gy4i8at7zc0doqd7qact6l,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2Fa82982d3-0932-3fec-b5fa-eea7da3da82b-2020-01-16T08%3A18%3A10.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=0JGxIjXBm3v5_D1DNZlzG44Gg-o,"{""Free space"":[{""geometry"":[{""x"":0,""y"":865},{""x"":120,""y"":768},{""x"":317,""y"":643},{""x"":315,""y"":594},{""x"":621,""y"":448},{""x"":759,""y"":389},{""x"":758,""y"":363},{""x"":1025,""y"":352},{""x"":1161,""y"":351},{""x"":1240,""y"":345},{""x"":1236,""y"":404},{""x"":1454,""y"":543},{""x"":1920,""y"":969},{""x"":1920,""y"":1080},{""x"":0,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,56.115,2020-01-16T08:18:10.jpg,,,,,Free space detection,"[{""id"":""ck5gyy2mqhpsu0899veguvcd8"",""score"":1,""createdAt"":""2020-01-16T16:49:09.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gyu9wu1f9c0843h27fczxk,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3l1OXd1MWY5YzA4NDNoMjdmY3p4ayIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.M5tBgOZnHrYjtmcIfjFoDKvbt_Ovjc7SkYrh7j2OX48""}"
ck5gyvhnda04e09292c44sylg,ck5gy4i8dt82w0doqem0g2c8u,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2F31cae4c6-de39-3499-d32c-5f782cdd9c1f-2020-01-16T08%3A18%3A50.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=eKyzs-242s9yvFv_CWtAx9smo88,"{""Free space"":[{""geometry"":[{""x"":305,""y"":1080},{""x"":420,""y"":945},{""x"":486,""y"":949},{""x"":495,""y"":917},{""x"":487,""y"":870},{""x"":668,""y"":647},{""x"":806,""y"":497},{""x"":817,""y"":492},{""x"":827,""y"":480},{""x"":825,""y"":409},{""x"":863,""y"":412},{""x"":881,""y"":398},{""x"":1174,""y"":389},{""x"":1166,""y"":482},{""x"":1186,""y"":495},{""x"":1206,""y"":511},{""x"":1206,""y"":591},{""x"":1393,""y"":728},{""x"":1554,""y"":842},{""x"":1589,""y"":862},{""x"":1577,""y"":901},{""x"":1602,""y"":933},{""x"":1652,""y"":926},{""x"":1792,""y"":1070},{""x"":1920,""y"":1016},{""x"":1920,""y"":1080}]},{""geometry"":[{""x"":216,""y"":1080},{""x"":0,""y"":1005},{""x"":0,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,56.412,2020-01-16T08:18:50.jpg,,,,,Free space detection,"[{""id"":""ck5gyxzbsm3tq0770ncqzb21e"",""score"":1,""createdAt"":""2020-01-16T16:49:05.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gyvhnda04e09292c44sylg,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3l2aG5kYTA0ZTA5MjkyYzQ0c3lsZyIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.QAlirp7TvQp2fsKZnuYXQoS-WOT8kwkvjgpihuHT5KI""}"
ck5gyw7w3a8nq09521f44ofon,ck5gy4i84t7w40doqgv0h6zrn,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2F85e178c0-ceb0-fa6f-ccef-6ee8cd9b46a5-2020-01-16T08%3A17%3A34.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=7KvLDtaCNyRu_eIST27XLWUGVg0,"{""Free space"":[{""geometry"":[{""x"":0,""y"":492},{""x"":183,""y"":446},{""x"":202,""y"":449},{""x"":269,""y"":437},{""x"":315,""y"":433},{""x"":404,""y"":416},{""x"":409,""y"":398},{""x"":441,""y"":406},{""x"":450,""y"":466},{""x"":975,""y"":529},{""x"":1288,""y"":574},{""x"":1392,""y"":586},{""x"":1392,""y"":690},{""x"":1379,""y"":749},{""x"":1755,""y"":808},{""x"":1920,""y"":830},{""x"":1920,""y"":1080},{""x"":0,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,32.999,2020-01-16T08:17:34.jpg,,,,,Free space detection,"[{""id"":""ck5gyxvl8a13e0929cd1t6wxu"",""score"":1,""createdAt"":""2020-01-16T16:49:00.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gyw7w3a8nq09521f44ofon,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3l3N3czYThucTA5NTIxZjQ0b2ZvbiIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.swu3xhw6HQLoC7cUXgAgF9gEHtREpN2d5uwo_VYDP8c""}"
ck5gywxlzhpcx0899k93ums6f,ck5gy4i8at7zo0doqhtfy2jty,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2Fa5e72f1b-fb5a-f239-3fcc-dcfec5bb878c-2020-01-16T08%3A18%3A14.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=r_XMgPmoU1KGfO-0sI5OMI1u7do,"{""Free space"":[{""geometry"":[{""x"":0,""y"":797},{""x"":189,""y"":674},{""x"":457,""y"":523},{""x"":549,""y"":471},{""x"":550,""y"":413},{""x"":777,""y"":396},{""x"":1024,""y"":388},{""x"":1050,""y"":387},{""x"":1189,""y"":377},{""x"":1371,""y"":377},{""x"":1391,""y"":373},{""x"":1385,""y"":507},{""x"":1393,""y"":517},{""x"":1674,""y"":726},{""x"":1920,""y"":950},{""x"":1920,""y"":1080},{""x"":0,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,32.927,2020-01-16T08:18:14.jpg,,,,,Free space detection,"[{""id"":""ck5gyxq8ka9d00952r899hvht"",""score"":1,""createdAt"":""2020-01-16T16:48:53.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gywxlzhpcx0899k93ums6f,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3l3eGx6aHBjeDA4OTlrOTN1bXM2ZiIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.55CQElXPcIn4AP7ivCWGmi985oN33QWFyWyUgzY6UbY""}"
ck5gz8dtz1rol0978jjwv18ma,ck5gy4i8et8380doqajddfmcg,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2Fe05db191-c994-fa93-1f45-3ee32185f1bd-2020-01-16T08%3A18%3A53.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=y3ySWgK9CYYrhJSdN4ni9DEO28g,"{""Free space"":[{""geometry"":[{""x"":274,""y"":1080},{""x"":433,""y"":893},{""x"":612,""y"":665},{""x"":727,""y"":542},{""x"":751,""y"":516},{""x"":746,""y"":406},{""x"":813,""y"":406},{""x"":838,""y"":387},{""x"":1139,""y"":383},{""x"":1184,""y"":383},{""x"":1199,""y"":393},{""x"":1194,""y"":515},{""x"":1218,""y"":536},{""x"":1236,""y"":537},{""x"":1354,""y"":637},{""x"":1339,""y"":769},{""x"":1342,""y"":808},{""x"":1531,""y"":983},{""x"":1669,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,63.28,2020-01-16T08:18:53.jpg,,,,,Free space detection,"[{""id"":""ck5gzaxxi1unx0978p3n7kza6"",""score"":1,""createdAt"":""2020-01-16T16:59:10.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gz8dtz1rol0978jjwv18ma,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3o4ZHR6MXJvbDA5Nzhqand2MThtYSIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.V5eiChuEfZ4v5aHL_S_0t8C86jFFGpUCtmfb98QT_8Q""}"
ck5gz9kfhagnt0952k63df9vm,ck5gy4i84t7wg0doq0upzfb4l,https://storage.labelbox.com/cjhh4jecg4hje0702omie6eqq%2Fa3baf579-1be9-25dd-0cbd-67a1a289b26b-2020-01-16T08%3A17%3A38.jpg?Expires=1580850788292&KeyName=labelbox-assets-key-1&Signature=lJIZWfcX3pBAa4YuNw05QEJwdmM,"{""Free space"":[{""geometry"":[{""x"":0,""y"":641},{""x"":141,""y"":556},{""x"":223,""y"":501},{""x"":239,""y"":504},{""x"":261,""y"":490},{""x"":662,""y"":467},{""x"":1034,""y"":463},{""x"":1164,""y"":459},{""x"":1184,""y"":467},{""x"":1314,""y"":461},{""x"":1382,""y"":484},{""x"":1462,""y"":488},{""x"":1522,""y"":485},{""x"":1540,""y"":467},{""x"":1575,""y"":477},{""x"":1634,""y"":468},{""x"":1634,""y"":451},{""x"":1716,""y"":452},{""x"":1701,""y"":576},{""x"":1683,""y"":665},{""x"":1886,""y"":768},{""x"":1920,""y"":791},{""x"":1920,""y"":1080},{""x"":0,""y"":1080}]}]}",jseng@calpoly.edu,Free space segmentation,1.57919E+12,1.57919E+12,54.897,2020-01-16T08:17:38.jpg,,,,,Free space detection,"[{""id"":""ck5gzau96aadw09298jtler43"",""score"":1,""createdAt"":""2020-01-16T16:59:05.000Z"",""createdBy"":""jseng@calpoly.edu""}]",https://image-segmentation-v4.labelbox.com?project=ck5gy7bbahfmg0899r5bnnrl4&label=ck5gz9kfhagnt0952k63df9vm,"{""Free space"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2s1Z3o5a2ZoYWdudDA5NTJrNjNkZjl2bSIsImNsYXNzTmFtZSI6IkZyZWUgc3BhY2UiLCJ1c2VySWQiOiJjamhoZGVkZXY4bWhhMDc1NnA3ZW1qNndmIiwiaWF0IjoxNTc5NjQxMTg4LCJleHAiOjE3MzczMjExODh9.RfjLDPLdlOoszd3qGJXC-fy5_SGRsoiW6blaLnPpjuk""}"
